BEEBE-39 AVE,NQ,167416
BERGEN ST,23,169410
BERGEN ST,FG,472135
BEVERLEY ROAD,BQ,130677
BEVERLY ROAD,25,129852
BLEECKER ST,6DF,527143
BOROUGH HALL/CT,2345R,1441223
BOROUGH HALL/CT,R2345,97004
BOTANIC GARDEN,S2345,97943
BOWERY,JZ,159578
BOWLING GREEN,45,1446300
BOYD-88 ST,A,100098
BRIGHTON BEACH,BQ,496654
BROAD CHANNEL,AS,9757
BROAD ST,JZ,182555
BROADWAY,G,183342
BROADWAY-31 ST,NQ,602787
BROADWAY-ENY,ACJLZ,460725
BROADWAY/LAFAY,BDFQ6,1328449
BRONX PARK EAST,25,98556
BROOK AVE,6,287301
BROOKLYN BRIDGE,456JZ,956718
BUHRE AVE,6,46
BURKE AVE,25,120062
BURNSIDE AVE,4,377220
BUSHWICK AVE,L,79940
CANAL ST,1,295551
CANAL ST,ACE,919686
CANAL ST,JNQRZ6,2056714
CARROLL ST,FG,413390
CASTLE HILL AVE,6,355364
CATHEDRL-110 ST,BC,305499
CENTRAL AVE,M,169812
CHAMBERS ST,123,991803
CHAMBERS ST,ACE23,1364863
CHAMBERS ST,JZ456,351490
CHAUNCEY ST,JZ,111951
CHRISTOPHER ST,1,740972
CHURCH AVE,25,305377
CHURCH AVE,BQ,873152
CHURCH AVE,FG,427400
CITY / BUS,1,756378
CITY HALL,R,218096
CLARK ST,23,252799
CLASSON AVE,G,240261
CLEVELAND ST,J,169671
CLINTON-WASH AV,C,169361
CLINTON-WASH AV,G,159275
CORTELYOU ROAD,BQ,192408
CORTLANDT ST,R,354482
COURT SQ,7,217469
COURT SQ,EMG,370377
COURT SQ-23 ST,EMG,273890
CRESCENT ST,JZ,254146
CROWN HTS-UTICA,34,1208851
CYPRESS AVE,6,157299
CYPRESS HILLS,J,57981
DEKALB AVE,BDNQR,657597
DEKALB AVE,L,393754
DELANCEY ST,FJMZ,747558
DITMARS BL-31 S,NQ,801684
DITMAS AVE,F,185706
DYCKMAN ST,1,255721
DYCKMAN-200 ST,A,181659
DYRE AVE,5,208676
E 143 ST,6,46278
E 149 ST,6,211607
E 177 ST-PARKCH,6,811142
E 180 ST,25,338419
E TREMONT AVE,25,-1090012147
EAST 105 ST,L,179195
EAST BROADWAY,F,373364
EASTERN PKWY,23,270131
ELDER AVE,6,311204
ELDERTS LANE,JZ,151369
ELMHURST AVE,MR,417924
ESSEX ST,FJMZ,391845
EUCLID AVE,AC,297367
EXCHANGE PLACE,1,663427
FAR ROCKAWAY,A,238701
FLATBUSH AVE,25,706149
FLUSHING AVE,G,134016
FLUSHING AVE,JM,319023
FORDHAM ROAD,4,359460
FORDHAM ROAD,BD,451449
FOREST AVE,M,167076
FOREST HILLS-71,EFMR,985816
FOREST PARKWAY,J,147215
FRANKLIN AVE,2345S,457128
FRANKLIN AVE,ACS,334318
FRANKLIN ST,1,209840
FREEMAN ST,25,214599
FRESH POND ROAD,M,279050
FT HAMILTON PKY,D,158393
FT HAMILTON PKY,FG,181935
FT HAMILTON PKY,N,262724
FULTON ST,2345ACJZ,1999287
FULTON ST,ACJZ2345,1141165
FULTON ST,G,240098
GATES AVE,JZ,226961
GRAHAM AVE,L,414100
GRAND ARMY PLAZ,23,271506
GRAND AV-NEWTON,MR,635338
GRAND ST,BD,1069744
GRAND ST,L,341851
GRAND-30 AVE,NQ,674348
GRANT AVE,A,295838
GREENPOINT AVE,G,373718
GREENWOOD-111,A,94285
GROVE STREET,1,812207
GUN HILL ROAD,25,383981
GUN HILL ROAD,5,164746
HALSEY ST,J,226598
HALSEY ST,L,307308
HARRISON,1,339058
HEWES ST,JM,119925
HIGH ST,AC,463896
HOUSTON ST,1,575855
HOWARD BCH-JFK,A,75269
HOYT ST,23,326859
HOYT ST-ASTORIA,NQ,522550
HOYT/SCHERMER,ACG,457913
HUDSON-80 ST,A,217373
HUNTERS PT AVE,7,273011
HUNTS POINT AVE,6,-7687496
INTERVALE-163,25,165755
INWOOD-207 ST,A,397451
JACKSON AVE,25,173122
JAMAICA CENTER,EJZ,1811267
JAMAICA-179 ST,F,758431
JAMAICA-VAN WYC,E,245897
JAY ST-METROTEC,ACF,1520230
JAY ST-METROTEC,R,138500
JEFFERSON ST,L,238372
JFK HOWARD BCH,A,135145
JFK JAMAICA CT1,E,381322
JOURNAL SQUARE,1,695135
JUNCTION BLVD,7,1036352
JUNIUS ST,3,86295
KINGS HIGHWAY,BQ,858548
KINGS HIGHWAY,F,174726
KINGS HIGHWAY,N,228433
KINGSBRIDGE RD,4,388930
KINGSBRIDGE RD,BD,346142
KINGSTON AVE,3,212884
KINGSTON-THROOP,C,268709
KNICKERBOCKER,M,202011
KOSCIUSZKO ST,J,175895
LACKAWANNA,1,363043
LAFAYETTE AVE,C,181906
LEFFERTS BLVD,A,324906
LEXINGTON AVE,F,609995
LEXINGTON AVE,NQR456,655594
LEXINGTON-53 ST,EM6,2047075
LIBERTY AVE,C,101322
LIVONIA AVE,L,140312
LONGWOOD AVE,6,156689
LORIMER ST,JM,185191
LORIMER ST,LG,196148
MAIN ST,7,2709901
MARBLE HILL-225,1,148999
MARCY AVE,JMZ,572204
METROPOLITAN AV,GL,406029
METROPOLITAN AV,M,200658
METS-WILLETS PT,7,276877
MIDDLETOWN ROAD,6,183474
MONTROSE AVE,L,280230
MORGAN AVE,L,250411
MORRIS PARK,5,98812
MORRISON AVE,6,299627
MOSHOLU PARKWAY,4,292103
MT EDEN AVE,4,247223
MYRTLE AVE,JMZ,468776
MYRTLE AVE,LM,827029
MYRTLE-WILLOUGH,G,220088
NASSAU AV,G,353397
NECK ROAD,BQ,127387
NEPTUNE AVE,F,53878
NEREID AVE,25,127537
NEVINS ST,2345,520143
NEW LOTS AVE,3,266340
NEW LOTS AVE,L,243696
NEW UTRECHT AVE,ND,278266
NEWARK BM BW,1,340872
NEWARK C,1,120891
NEWARK HM HE,1,42865
NEWARK HW BMEBE,1,110850
NEWKIRK AVE,25,304305
NEWKIRK PLAZA,BQ,500312
NORTHERN BLVD,MR,320947
NORWOOD AVE,JZ,177038
NORWOOD-205 ST,D,375433
NOSTRAND AVE,3,211369
NOSTRAND AVE,AC,759663
OCEAN PARKWAY,Q,120471
OXFORD-104 ST,A,59891
PARK PLACE,23ACE,161844
PARK PLACE,S,100459
PARKSIDE AVE,BQ,229294
PARSONS BLVD,F,320438
PATH WTC,1,3097626
PATH WTC 2,1,45689
PAVONIA/NEWPORT,1,904057
PELHAM BAY PARK,6,293685
PELHAM PARKWAY,25,340727
PELHAM PARKWAY,5,123837
PENNSYLVANIA AV,3,178224
PRESIDENT ST,25,202445
PRINCE ST-B'WAY,NR,823119
PROSPECT AVE,25,250884
PROSPECT AVE,R,257476
PROSPECT PARK,BQS,488658
QUEENS PLAZA,EMR,470693
QUEENSBORO PLZ,7NQ,378129
RALPH AVE,C,214380
RECTOR ST,1,450458
RECTOR ST,R,202465
RIT-MANHATTAN,R,108239
RIT-ROOSEVELT,R,110368
ROCKAWAY AVE,3,204199
ROCKAWAY AVE,C,211412
ROCKAWAY BLVD,A,171151
ROCKAWAY PK 116,AS,36165
ROCKAWAY PKY,L,423458
ROOSEVELT AVE,EFMR7,2240256
ROOSEVELT IS,F,296974
SARATOGA AVE,3,220961
SENECA AVE,M,133188
SHEEPSHEAD BAY,BQ,634137
SHEPHERD AVE,C,126130
SIMPSON ST,25,294162
SMITH-9 ST,FG,272883
SOUTH FERRY,1R,721982
SPRING ST,6,626970
SPRING ST,CE,349192
ST LAWRENCE AVE,6,194095
ST. GEORGE,1,304060
STEINWAY ST,MR,640345
STERLING ST,25,230638
STILLWELL AVE,DFNQ,691813
SUTPHIN BLVD,EJZ,1071093
SUTPHIN BLVD,F,178975
SUTTER AVE,3,290087
SUTTER AVE,L,203031
THIRTY ST,1,285299
THIRTY THIRD ST,1,864754
TOMPKINSVILLE,1,18399
TREMONT AVE,BD,389158
TWENTY THIRD ST,1,411218
UNION ST,R,297140
UNION TPK-KEW G,EF,1328532
UTICA AVE,AC,695444
VAN ALSTON-21ST,G,85505
VAN SICLEN AVE,3,78284
VAN SICLEN AVE,C,152643
VAN SICLEN AVE,JZ,146453
VAN WYCK BLVD,EF,163143
VERNON/JACKSON,7,586279
W 4 ST-WASH SQ,ABCDEFM,2232416
W 8 ST-AQUARIUM,FQ,94854
WAKEFIELD-241,2,266038
WALL ST,23,1184100
WALL ST,45,930218
WASHINGTON-36 A,NQ,345093
WESTCHESTER SQ,6,325001
WHITEHALL ST,R1,659778
WHITLOCK AVE,6,80493
WILSON AVE,L,212548
WINTHROP ST,25,219131
WOODHAVEN BLVD,JZ,172983
WOODHAVEN BLVD,MR,867223
WOODLAWN ROAD,4,242407
WORLD TRADE CTR,ACE23,491896
YORK ST,F,387638
ZEREGA AVE,6,37
