DYCKMAN-200 ST,177039
HOYT ST,175696
WESTCHESTER SQ,172413
LACKAWANNA,172219
3 AVE,172073
DYCKMAN ST,171040
HARRISON,170962
155 ST,169021
LEFFERTS BLVD,168890
52 ST-LINCOLN,168783
PARSONS BLVD,164551
GRANT AVE,161672
UNION ST,160798
GATES AVE,160628
ELDER AVE,160624
MORRISON AVE,160263
ROCKAWAY BLVD,159727
ROOSEVELT IS,157901
CLARK ST,156663
183 ST,156340
BROOK AVE,155842
15 ST-PROSPECT,155216
SARATOGA AVE,154640
207 ST,153212
174 ST,153062
176 ST,151866
KINGSTON-THROOP,151708
NEW UTRECHT AVE,151473
6 AVE,149296
CORTELYOU ROAD,148288
BAY RIDGE-95 ST,147881
RALPH AVE,145783
HUNTERS PT AVE,145356
PENNSYLVANIA AV,144549
MYRTLE-WILLOUGH,144481
ALLERTON AVE,144459
MT EDEN AVE,142617
AVE J,142406
CITY HALL,141942
STERLING ST,141504
EASTERN PKWY,140950
FRESH POND ROAD,140410
JACKSON AVE,140403
BROAD ST,140293
233 ST,139266
METS-WILLETS PT,138553
9 AVE,137834
AVE M,135882
PARK PLACE,135271
9TH STREET,134612
WAKEFIELD-241,133490
4 AVE,133172
FRANKLIN ST,132400
174-175 ST,129034
SMITH-9 ST,128601
182-183 ST,127240
CRESCENT ST,126604
PARKSIDE AVE,126126
HUDSON-80 ST,125809
LAFAYETTE AVE,124269
CLASSON AVE,124152
JAMAICA-VAN WYC,122923
KOSCIUSZKO ST,122609
69 ST-FISK AVE,121510
FREEMAN ST,120775
MARBLE HILL-225,120518
190 ST,120069
FAR ROCKAWAY,119773
KINGSTON AVE,114996
WILSON AVE,113144
225 ST,112819
VAN WYCK BLVD,112043
NEWARK C,111966
E 149 ST,111707
163 ST-AMSTERDM,110250
DITMAS AVE,109932
25 AVE,109886
BEVERLY ROAD,109205
RIT-ROOSEVELT,108612
DYRE AVE,107571
RIT-MANHATTAN,106800
NEWARK HW BMEBE,103324
FOREST AVE,102436
NECK ROAD,101393
ST LAWRENCE AVE,101159
BROADWAY,100923
KNICKERBOCKER,100611
71 ST,99457
148 ST-LENOX,98731
FOREST PARKWAY,97237
25 ST,96994
PRESIDENT ST,96566
CYPRESS AVE,94691
MIDDLETOWN ROAD,94442
65 ST,94064
EAST 105 ST,93943
ELDERTS LANE,92296
NEREID AVE,91996
BAYCHESTER AVE,91975
BURKE AVE,89693
75 AVE,89638
CENTRAL AVE,89287
NORWOOD AVE,88300
219 ST,87137
CLEVELAND ST,86649
BOWERY,85491
BEEBE-39 AVE,85077
INTERVALE-163,85062
LONGWOOD AVE,84565
238 ST,83530
74 ST-BROADWAY,83236
SHEPHERD AVE,81753
AVE N,81539
138 ST-GR CONC,81454
LIVONIA AVE,81191
HEWES ST,80440
CHAUNCEY ST,77624
OCEAN PARKWAY,77030
AVE X,70796
BRONX PARK EAST,70394
AVE H,69382
AVE P,68791
BOYD-88 ST,66443
SENECA AVE,66248
LIBERTY AVE,65590
BEVERLEY ROAD,65470
BAY 50 ST,65407
ALABAMA AVE,63707
JFK HOWARD BCH,62453
BEACH 60 ST,62310
JUNIUS ST,61404
GREENWOOD-111,60556
121 ST,60395
HOWARD BCH-JFK,60000
BEACH 67 ST,57515
